ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,42,640,56.12,5.21,3.54,3.32,2.26
0,42,704,56.95,6.12,4.35,4.10,2.72
0,42,768,57.71,6.81,5.07,4.80,3.21
0,42,832,58.40,7.25,5.76,5.31,3.76
0,42,896,59.05,8.15,6.34,6.53,4.31
0,42,960,59.65,8.68,6.93,7.38,4.93
0,42,1024,60.21,8.77,7.51,7.53,5.63
0,42,1088,60.73,9.58,8.03,9.08,6.35
0,42,1152,61.23,10.08,8.52,10.19,7.11
0,42,1216,61.70,10.60,8.97,11.48,7.90
0,42,1280,62.14,11.10,9.42,12.88,8.76
0,42,1344,62.57,11.59,9.86,14.43,9.68
0,42,1408,62.97,11.86,10.28,15.35,10.67
0,42,1472,63.36,12.31,10.65,17.01,11.61
0,42,1536,63.73,12.72,11.04,18.71,12.71
0,42,1600,64.08,13.07,11.40,20.30,13.80
0,42,1664,64.42,13.44,11.77,22.07,15.03
0,42,1728,64.75,13.75,12.13,23.73,16.32
0,42,1792,65.07,14.08,12.48,25.61,17.69
0,42,1856,65.37,14.40,12.78,27.57,18.95
0,42,1920,65.67,14.67,13.11,29.34,20.45
0,42,1984,65.95,14.96,13.43,31.33,22.02
0,42,2048,66.23,15.28,13.70,33.69,23.43
0,42,2112,66.49,15.50,13.96,35.46,24.86
0,42,2176,66.75,15.83,14.20,38.31,26.30
0,42,2240,67.00,16.07,14.45,40.45,27.89
0,42,2304,67.25,16.27,14.66,42.40,29.25
0,42,2368,67.49,16.38,14.84,43.44,30.44
0,42,2432,67.72,16.62,15.07,45.91,32.14
0,42,2496,67.94,16.78,15.29,47.68,33.78
0,42,2560,68.16,16.99,15.51,50.01,35.57
0,42,2624,68.38,17.19,15.74,52.33,37.48
0,42,2688,68.59,17.45,15.98,55.65,39.60
0,42,2752,68.79,17.63,16.18,57.98,41.47
0,42,2816,68.99,17.80,16.37,60.19,43.38
0,42,2880,69.19,17.99,16.56,62.92,45.34
0,42,2944,69.38,18.19,16.74,65.91,47.25
0,42,3008,69.57,18.37,16.91,68.64,49.07
0,42,3072,69.75,18.52,17.08,71.04,51.02
0,42,3136,69.93,18.69,17.24,73.96,52.91
0,42,3200,70.10,18.85,17.41,76.72,55.14
0,42,3264,70.28,19.00,17.57,79.45,57.09
0,42,3328,70.44,19.17,17.71,82.55,58.97
0,42,3392,70.61,19.29,17.86,84.99,61.04
0,42,3456,70.77,19.37,17.98,86.50,62.75
0,42,3520,70.93,19.50,18.10,89.20,64.60
0,42,3584,71.09,19.67,18.27,92.78,67.15
0,42,3648,71.24,19.80,18.41,95.58,69.29
0,42,3712,71.39,19.93,18.54,98.35,71.45
0,42,3776,71.54,20.13,18.74,102.93,74.82
0,42,3840,71.69,20.23,18.88,105.55,77.23
0,42,3904,71.83,20.33,19.01,107.98,79.64
0,42,3968,71.97,20.50,19.12,112.11,81.60
0,42,4032,72.11,20.58,19.26,114.18,84.29
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,42,640,56.12,6.74,7.20,4.72,5.25
1,42,704,56.95,7.46,7.99,5.57,6.29
1,42,768,57.71,8.68,8.74,7.38,7.47
1,42,832,58.40,9.11,9.43,8.16,8.76
1,42,896,59.05,9.87,10.04,9.71,10.08
1,42,960,59.65,10.71,10.71,11.77,11.79
1,42,1024,60.21,11.10,11.30,12.88,13.48
1,42,1088,60.73,11.93,11.80,15.61,15.13
1,42,1152,61.23,12.45,12.25,17.57,16.80
1,42,1216,61.70,12.86,12.72,19.34,18.71
1,42,1280,62.14,13.36,13.15,21.70,20.68
1,42,1344,62.57,13.90,13.57,24.54,22.74
1,42,1408,62.97,14.31,14.00,26.98,25.11
1,42,1472,63.36,14.73,14.36,29.71,27.26
1,42,1536,63.73,15.09,14.72,32.29,29.67
1,42,1600,64.08,15.48,15.01,35.35,31.66
1,42,1664,64.42,15.80,15.33,38.05,34.13
1,42,1728,64.75,16.13,15.68,41.04,36.95
1,42,1792,65.07,16.54,16.01,45.10,39.94
1,42,1856,65.37,16.85,16.32,48.42,42.89
1,42,1920,65.67,17.17,16.60,52.11,45.70
1,42,1984,65.95,17.49,16.87,56.06,48.69
1,42,2048,66.23,17.76,17.13,59.67,51.65
1,42,2112,66.49,18.00,17.38,63.07,54.74
1,42,2176,66.75,18.27,17.61,67.13,57.73
1,42,2240,67.00,18.43,17.84,69.64,60.83
1,42,2304,67.25,18.71,18.05,74.36,63.76
1,42,2368,67.49,18.97,18.29,78.90,67.46
1,42,2432,67.72,19.19,18.53,82.96,71.25
1,42,2496,67.94,19.42,18.74,87.46,74.88
1,42,2560,68.16,19.63,18.96,91.93,78.61
1,42,2624,68.38,19.84,19.17,96.28,82.59
1,42,2688,68.59,20.06,19.36,101.30,86.33
1,42,2752,68.79,20.22,19.56,105.21,90.46
1,42,2816,68.99,20.43,19.74,110.38,94.29
1,42,2880,69.19,20.62,19.92,115.40,98.22
1,42,2944,69.38,20.75,20.08,118.94,101.84
1,42,3008,69.57,20.91,20.23,123.19,105.41
1,42,3072,69.75,21.07,20.40,127.87,109.58
1,42,3136,69.93,21.21,20.55,132.26,113.56
1,42,3200,70.10,21.37,20.71,137.10,117.66
1,42,3264,70.28,21.51,20.86,141.64,122.00
1,42,3328,70.44,21.63,20.97,145.40,125.01
1,42,3392,70.61,21.62,20.96,145.11,124.69
1,42,3456,70.77,21.62,20.96,145.07,124.66
1,42,3520,70.93,21.62,20.96,145.07,124.74
1,42,3584,71.09,21.62,20.96,145.18,124.84
1,42,3648,71.24,21.61,20.98,145.00,125.20
1,42,3712,71.39,21.60,20.97,144.66,125.04
1,42,3776,71.54,21.61,20.96,144.78,124.64
1,42,3840,71.69,21.61,20.96,144.78,124.66
1,42,3904,71.83,21.60,20.97,144.59,124.97
1,42,3968,71.97,21.60,20.96,144.70,124.79
1,42,4032,72.11,21.61,20.96,144.92,124.70
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,58,640,56.12,9.44,7.41,8.78,5.50
0,58,704,56.95,10.19,8.21,10.44,6.62
0,58,768,57.71,10.88,8.99,12.25,7.92
0,58,832,58.40,11.66,9.71,14.65,9.35
0,58,896,59.05,12.21,10.40,16.64,10.97
0,58,960,59.65,12.96,11.06,19.78,12.76
0,58,1024,60.21,13.55,11.64,22.66,14.58
0,58,1088,60.73,14.04,12.19,25.35,16.57
0,58,1152,61.23,14.53,12.68,28.38,18.54
0,58,1216,61.70,15.16,13.19,32.81,20.87
0,58,1280,62.14,15.61,13.60,36.39,22.90
0,58,1344,62.57,15.98,14.05,39.64,25.38
0,58,1408,62.97,16.27,14.37,42.40,27.32
0,58,1472,63.36,16.66,14.74,46.39,29.76
0,58,1536,63.73,16.98,15.07,49.93,32.14
0,58,1600,64.08,17.40,15.48,54.95,35.30
0,58,1664,64.42,17.70,15.79,58.90,37.90
0,58,1728,64.75,18.05,16.15,63.77,41.21
0,58,1792,65.07,18.37,16.44,68.72,44.06
0,58,1856,65.37,18.56,16.72,71.85,47.02
0,58,1920,65.67,18.85,17.03,76.69,50.50
0,58,1984,65.95,19.08,17.29,80.93,53.61
0,58,2048,66.23,19.33,17.51,85.62,56.38
0,58,2112,66.49,19.56,17.76,90.38,59.66
0,58,2176,66.75,19.79,18.05,95.18,63.80
0,58,2240,67.00,20.08,18.33,101.82,68.15
0,58,2304,67.25,20.28,18.55,106.69,71.67
0,58,2368,67.49,20.49,18.79,112.04,75.74
0,58,2432,67.72,20.72,19.00,118.02,79.50
0,58,2496,67.94,20.91,19.21,123.19,83.44
0,58,2560,68.16,21.10,19.43,128.80,87.61
0,58,2624,68.38,21.27,19.61,134.04,91.45
0,58,2688,68.59,21.46,19.80,140.01,95.55
0,58,2752,68.79,21.61,19.99,144.96,99.67
0,58,2816,68.99,21.75,20.16,149.65,103.77
0,58,2880,69.19,21.91,20.33,155.29,107.83
0,58,2944,69.38,22.06,20.51,160.75,112.36
0,58,3008,69.57,22.25,20.68,167.88,116.95
0,58,3072,69.75,22.40,20.86,173.97,122.00
0,58,3136,69.93,22.55,21.06,179.94,127.74
0,58,3200,70.10,22.70,21.22,186.22,132.30
0,58,3264,70.28,22.84,21.37,192.34,136.98
0,58,3328,70.44,22.97,21.52,198.10,141.90
0,58,3392,70.61,23.02,21.60,200.65,144.58
0,58,3456,70.77,23.01,21.59,200.06,144.05
0,58,3520,70.93,23.02,21.59,200.24,144.11
0,58,3584,71.09,23.02,21.59,200.57,144.20
0,58,3648,71.24,23.03,21.59,200.87,144.24
0,58,3712,71.39,23.02,21.58,200.24,143.89
0,58,3776,71.54,23.02,21.58,200.24,144.04
0,58,3840,71.69,22.99,21.58,199.25,143.95
0,58,3904,71.83,22.99,21.59,199.28,144.10
0,58,3968,71.97,22.98,21.58,198.66,143.86
0,58,4032,72.11,23.00,21.58,199.69,143.90
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,58,640,56.12,7.10,6.29,5.13,4.25
1,58,704,56.95,7.71,7.08,5.90,5.10
1,58,768,57.71,8.64,7.84,7.31,6.09
1,58,832,58.40,9.38,8.56,8.67,7.18
1,58,896,59.05,9.98,9.25,9.96,8.41
1,58,960,59.65,10.67,9.85,11.66,9.66
1,58,1024,60.21,11.21,10.42,13.21,11.01
1,58,1088,60.73,11.84,10.95,15.28,12.44
1,58,1152,61.23,12.30,11.41,16.98,13.85
1,58,1216,61.70,12.84,11.93,19.23,15.60
1,58,1280,62.14,13.37,12.40,21.74,17.37
1,58,1344,62.57,13.85,12.79,24.25,19.02
1,58,1408,62.97,14.26,13.21,26.64,20.96
1,58,1472,63.36,14.68,13.59,29.38,22.87
1,58,1536,63.73,15.07,13.94,32.11,24.78
1,58,1600,64.08,15.41,14.28,34.73,26.78
1,58,1664,64.42,15.81,14.62,38.09,28.96
1,58,1728,64.75,16.14,14.94,41.07,31.21
1,58,1792,65.07,16.48,15.26,44.51,33.59
1,58,1856,65.37,16.77,15.54,47.57,35.85
1,58,1920,65.67,17.05,15.83,50.67,38.25
1,58,1984,65.95,17.42,16.13,55.25,41.05
1,58,2048,66.23,17.65,16.38,58.23,43.41
1,58,2112,66.49,17.93,16.63,62.11,45.99
1,58,2176,66.75,18.21,16.88,66.28,48.75
1,58,2240,67.00,18.46,17.11,70.15,51.46
1,58,2304,67.25,18.70,17.36,74.21,54.45
1,58,2368,67.49,18.97,17.59,78.90,57.41
1,58,2432,67.72,19.21,17.80,83.37,60.31
1,58,2496,67.94,19.39,18.05,86.87,63.78
1,58,2560,68.16,19.67,18.25,92.63,66.76
1,58,2624,68.38,19.84,18.44,96.39,69.89
1,58,2688,68.59,20.02,18.63,100.49,73.02
1,58,2752,68.79,20.23,18.82,105.36,76.17
1,58,2816,68.99,20.39,19.01,109.46,79.61
1,58,2880,69.19,20.57,19.18,113.92,82.74
1,58,2944,69.38,20.73,19.34,118.31,85.85
1,58,3008,69.57,20.90,19.52,122.89,89.64
1,58,3072,69.75,21.08,19.69,128.32,93.21
1,58,3136,69.93,21.25,19.86,133.33,96.84
1,58,3200,70.10,21.34,20.01,136.29,100.20
1,58,3264,70.28,21.52,20.18,141.75,104.25
1,58,3328,70.44,21.67,20.34,146.95,108.15
1,58,3392,70.61,21.73,20.41,148.98,109.89
1,58,3456,70.77,21.72,20.40,148.61,109.65
1,58,3520,70.93,21.74,20.39,149.35,109.50
1,58,3584,71.09,21.71,20.38,148.24,109.22
1,58,3648,71.24,21.72,20.40,148.43,109.60
1,58,3712,71.39,21.72,20.40,148.54,109.74
1,58,3776,71.54,21.71,20.40,148.21,109.53
1,58,3840,71.69,21.69,20.41,147.58,109.80
1,58,3904,71.83,21.72,20.39,148.43,109.41
1,58,3968,71.97,21.70,20.39,148.02,109.44
1,58,4032,72.11,21.72,20.40,148.47,109.64
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,106,640,56.12,8.22,6.86,6.64,4.85
0,106,704,56.95,8.97,7.71,7.90,5.90
0,106,768,57.71,9.70,8.46,9.34,7.02
0,106,832,58.40,10.40,9.17,10.96,8.27
0,106,896,59.05,11.15,9.81,13.03,9.57
0,106,960,59.65,11.72,10.46,14.87,11.11
0,106,1024,60.21,12.29,11.06,16.94,12.78
0,106,1088,60.73,12.78,11.61,18.97,14.48
0,106,1152,61.23,13.30,12.11,21.37,16.27
0,106,1216,61.70,13.82,12.61,24.10,18.23
0,106,1280,62.14,14.33,13.05,27.09,20.17
0,106,1344,62.57,14.67,13.48,29.30,22.29
0,106,1408,62.97,15.12,13.83,32.48,24.15
0,106,1472,63.36,15.40,14.16,34.65,26.05
0,106,1536,63.73,15.74,14.54,37.49,28.44
0,106,1600,64.08,16.07,14.86,40.45,30.59
0,106,1664,64.42,16.44,15.27,44.03,33.66
0,106,1728,64.75,16.73,15.59,47.13,36.22
0,106,1792,65.07,17.04,15.89,50.60,38.81
0,106,1856,65.37,17.35,16.18,54.29,41.50
0,106,1920,65.67,17.64,16.47,58.12,44.32
0,106,1984,65.95,17.84,16.73,60.74,47.07
0,106,2048,66.23,18.13,16.99,64.95,50.00
0,106,2112,66.49,18.30,17.20,67.65,52.52
0,106,2176,66.75,18.54,17.45,71.45,55.65
0,106,2240,67.00,18.72,17.69,74.55,58.79
0,106,2304,67.25,19.02,17.95,79.71,62.36
0,106,2368,67.49,19.18,18.20,82.78,66.06
0,106,2432,67.72,19.41,18.41,87.20,69.41
0,106,2496,67.94,19.59,18.64,91.08,73.07
0,106,2560,68.16,19.79,18.81,95.25,76.07
0,106,2624,68.38,19.97,19.01,99.27,79.57
0,106,2688,68.59,20.15,19.20,103.55,83.09
0,106,2752,68.79,20.33,19.39,107.94,86.95
0,106,2816,68.99,20.49,19.56,111.82,90.45
0,106,2880,69.19,20.63,19.74,115.62,94.22
0,106,2944,69.38,20.76,19.90,119.20,97.77
0,106,3008,69.57,20.92,20.07,123.63,101.65
0,106,3072,69.75,21.08,20.24,128.13,105.73
0,106,3136,69.93,21.23,20.39,132.82,109.50
0,106,3200,70.10,21.37,20.57,137.03,114.06
0,106,3264,70.28,21.52,20.71,142.04,117.86
0,106,3328,70.44,21.67,20.86,147.03,122.03
0,106,3392,70.61,21.77,21.00,150.16,126.03
0,106,3456,70.77,21.90,21.09,154.78,128.44
0,106,3520,70.93,21.97,21.17,157.40,130.88
0,106,3584,71.09,21.95,21.17,156.77,131.04
0,106,3648,71.24,21.95,21.18,156.84,131.17
0,106,3712,71.39,21.94,21.17,156.44,131.07
0,106,3776,71.54,21.94,21.17,156.44,130.84
0,106,3840,71.69,21.95,21.18,156.58,131.08
0,106,3904,71.83,21.92,21.17,155.66,130.88
0,106,3968,71.97,21.93,21.16,156.03,130.68
0,106,4032,72.11,21.92,21.16,155.51,130.68
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,106,640,56.12,4.81,5.65,3.03,3.68
1,106,704,56.95,5.31,6.43,3.40,4.40
1,106,768,57.71,6.81,7.19,4.80,5.24
1,106,832,58.40,7.07,7.88,5.09,6.13
1,106,896,59.05,7.71,8.51,5.90,7.10
1,106,960,59.65,8.50,9.15,7.09,8.23
1,106,1024,60.21,9.13,9.76,8.19,9.46
1,106,1088,60.73,9.51,10.30,8.93,10.72
1,106,1152,61.23,10.26,10.80,10.63,12.02
1,106,1216,61.70,10.72,11.28,11.81,13.44
1,106,1280,62.14,11.16,11.72,13.06,14.86
1,106,1344,62.57,11.60,12.13,14.47,16.32
1,106,1408,62.97,12.04,12.50,15.98,17.80
1,106,1472,63.36,12.44,12.86,17.53,19.32
1,106,1536,63.73,12.75,13.21,18.82,20.96
1,106,1600,64.08,13.11,13.56,20.44,22.72
