ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,42,640,56.12,8.13,8.75,6.50,7.50
0,42,704,56.95,8.53,9.52,7.12,8.96
0,42,768,57.71,9.19,10.27,8.30,10.63
0,42,832,58.40,10.20,10.97,10.48,12.50
0,42,896,59.05,10.87,11.58,12.22,14.38
0,42,960,59.65,11.28,12.24,13.43,16.73
0,42,1024,60.21,11.83,12.76,15.24,18.90
0,42,1088,60.73,12.32,13.24,17.05,21.10
0,42,1152,61.23,12.99,13.69,19.93,23.39
0,42,1216,61.70,13.31,14.13,21.44,25.89
0,42,1280,62.14,13.75,14.52,23.69,28.31
0,42,1344,62.57,14.23,14.93,26.46,31.11
0,42,1408,62.97,14.50,15.30,28.19,33.88
0,42,1472,63.36,14.83,15.74,30.41,37.49
0,42,1536,63.73,15.21,16.12,33.21,40.94
0,42,1600,64.08,15.52,16.41,35.61,43.78
0,42,1664,64.42,15.89,16.73,38.82,47.13
0,42,1728,64.75,16.19,17.09,41.55,51.22
0,42,1792,65.07,16.47,17.39,44.32,54.88
0,42,1856,65.37,16.78,17.66,47.61,58.34
0,42,1920,65.67,17.06,17.94,50.85,62.17
0,42,1984,65.95,17.29,18.18,53.55,65.81
0,42,2048,66.23,17.51,18.37,56.39,68.75
0,42,2112,66.49,17.72,18.62,59.16,72.72
0,42,2176,66.75,17.94,18.86,62.29,76.88
0,42,2240,67.00,18.12,19.08,64.91,80.93
0,42,2304,67.25,18.37,19.29,68.64,84.88
0,42,2368,67.49,18.58,19.48,72.18,88.67
0,42,2432,67.72,18.82,19.67,76.17,92.76
0,42,2496,67.94,19.00,19.92,79.38,98.24
0,42,2560,68.16,19.22,20.12,83.48,102.78
0,42,2624,68.38,19.42,20.33,87.43,107.94
0,42,2688,68.59,19.60,20.54,91.15,113.17
0,42,2752,68.79,19.73,20.72,93.88,117.96
0,42,2816,68.99,19.89,20.84,97.54,121.22
0,42,2880,69.19,20.04,21.02,100.86,126.35
0,42,2944,69.38,20.20,21.18,104.77,131.20
0,42,3008,69.57,20.37,21.33,108.83,135.90
0,42,3072,69.75,20.52,21.50,112.63,141.34
0,42,3136,69.93,20.69,21.67,117.21,146.90
0,42,3200,70.10,20.85,21.81,121.53,151.73
0,42,3264,70.28,20.98,21.98,125.44,157.84
0,42,3328,70.44,21.15,22.21,130.35,166.26
0,42,3392,70.61,21.16,22.24,130.68,167.61
0,42,3456,70.77,21.07,22.18,128.02,165.25
0,42,3520,70.93,21.08,22.16,128.28,164.42
0,42,3584,71.09,21.09,22.11,128.61,162.49
0,42,3648,71.24,21.09,22.15,128.46,164.00
0,42,3712,71.39,21.03,22.13,126.73,163.24
0,42,3776,71.54,21.05,22.10,127.39,162.25
0,42,3840,71.69,21.07,22.08,128.02,161.39
0,42,3904,71.83,21.12,22.16,129.31,164.41
0,42,3968,71.97,21.08,22.14,128.13,163.66
0,42,4032,72.11,21.08,22.14,128.24,163.82
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,42,640,56.12,6.50,7.91,4.47,6.18
1,42,704,56.95,7.46,8.69,5.57,7.40
1,42,768,57.71,8.32,9.43,6.79,8.77
1,42,832,58.40,9.02,10.12,7.97,10.27
1,42,896,59.05,9.58,10.74,9.08,11.87
1,42,960,59.65,10.20,11.42,10.48,13.86
1,42,1024,60.21,10.71,12.01,11.77,15.87
1,42,1088,60.73,11.31,12.53,13.51,17.89
1,42,1152,61.23,11.83,13.04,15.24,20.16
1,42,1216,61.70,12.33,13.49,17.09,22.32
1,42,1280,62.14,12.65,13.92,18.42,24.66
1,42,1344,62.57,13.27,14.29,21.26,26.87
1,42,1408,62.97,13.62,14.69,22.99,29.46
1,42,1472,63.36,13.93,15.05,24.69,32.01
1,42,1536,63.73,14.27,15.40,26.72,34.67
1,42,1600,64.08,14.67,15.79,29.30,37.92
1,42,1664,64.42,15.02,16.14,31.74,41.07
1,42,1728,64.75,15.33,16.46,34.10,44.27
1,42,1792,65.07,15.71,16.77,37.24,47.58
1,42,1856,65.37,15.99,17.07,39.71,50.88
1,42,1920,65.67,16.26,17.34,42.29,54.24
1,42,1984,65.95,16.45,17.55,44.14,56.91
1,42,2048,66.23,16.65,17.79,46.28,60.16
1,42,2112,66.49,16.91,18.05,49.05,63.81
1,42,2176,66.75,17.21,18.34,52.55,68.26
1,42,2240,67.00,17.42,18.59,55.17,72.23
1,42,2304,67.25,17.66,18.84,58.35,76.54
1,42,2368,67.49,17.89,19.07,61.48,80.79
1,42,2432,67.72,18.13,19.33,65.06,85.70
1,42,2496,67.94,18.33,19.52,68.01,89.54
1,42,2560,68.16,18.50,19.71,70.86,93.58
1,42,2624,68.38,18.65,19.87,73.29,97.04
1,42,2688,68.59,18.85,20.04,76.65,100.94
1,42,2752,68.79,18.99,20.21,79.31,105.05
1,42,2816,68.99,19.14,20.38,82.07,109.08
1,42,2880,69.19,19.34,20.55,85.84,113.57
1,42,2944,69.38,19.47,20.71,88.53,117.79
1,42,3008,69.57,19.68,20.91,92.96,123.26
1,42,3072,69.75,19.74,21.05,94.22,127.29
1,42,3136,69.93,19.92,21.22,98.20,132.38
1,42,3200,70.10,20.13,21.39,102.96,137.68
1,42,3264,70.28,20.25,21.54,105.95,142.48
1,42,3328,70.44,20.34,21.62,108.24,145.30
1,42,3392,70.61,20.31,21.61,107.39,144.94
1,42,3456,70.77,20.34,21.61,108.06,144.76
1,42,3520,70.93,20.32,21.60,107.72,144.53
1,42,3584,71.09,20.30,21.60,107.17,144.49
1,42,3648,71.24,20.31,21.59,107.46,144.11
1,42,3712,71.39,20.31,21.58,107.46,144.02
1,42,3776,71.54,20.32,21.58,107.72,143.83
1,42,3840,71.69,20.30,21.58,107.13,143.81
1,42,3904,71.83,20.31,21.57,107.28,143.62
1,42,3968,71.97,20.31,21.57,107.28,143.67
1,42,4032,72.11,20.28,21.58,106.54,143.93
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,58,640,56.12,5.07,6.56,3.21,4.52
0,58,704,56.95,5.63,7.35,3.65,5.43
0,58,768,57.71,6.78,8.10,4.76,6.46
0,58,832,58.40,7.52,8.79,5.65,7.57
0,58,896,59.05,7.79,9.47,6.02,8.85
0,58,960,59.65,8.79,10.12,7.57,10.27
0,58,1024,60.21,9.40,10.70,8.71,11.76
0,58,1088,60.73,9.56,11.23,9.04,13.29
0,58,1152,61.23,10.29,11.74,10.70,14.94
0,58,1216,61.70,10.93,12.23,12.40,16.71
0,58,1280,62.14,11.20,12.66,13.17,18.43
0,58,1344,62.57,11.71,13.08,14.84,20.30
0,58,1408,62.97,12.07,13.41,16.09,21.93
0,58,1472,63.36,12.51,13.78,17.82,23.88
