ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,32,30.10,-16.17
0,7,96,39.65,-6.50
0,7,160,44.08,-2.04
0,7,224,47.00,0.85
0,7,288,49.19,3.07
0,7,352,50.93,4.83
0,7,416,52.38,6.29
0,7,480,53.62,7.61
0,7,544,54.71,8.58
0,7,608,55.68,9.55
0,7,672,56.55,10.40
0,7,736,57.34,11.08
0,7,800,58.06,11.78
0,7,864,58.73,12.42
0,7,928,59.35,13.05
0,7,992,59.93,13.57
0,7,1056,60.47,14.16
0,7,1120,60.98,14.74
0,7,1184,61.47,15.26
0,7,1248,61.92,15.78
0,7,1312,62.36,16.20
0,7,1376,62.77,16.81
0,7,1440,63.17,17.48
0,7,1504,63.54,18.07
0,7,1568,63.91,18.55
0,7,1632,64.25,19.26
0,7,1696,64.59,19.93
0,7,1760,64.91,20.53
0,7,1824,65.22,20.65
0,7,1888,65.52,21.43
0,7,1952,65.81,22.22
0,7,2016,66.09,22.89
0,7,2080,66.36,23.46
0,7,2144,66.62,24.42
0,7,2208,66.88,24.62
0,7,2272,67.13,24.70
0,7,2336,67.37,24.70
0,7,2400,67.60,24.70
0,7,2464,67.83,24.70
0,7,2528,68.06,24.69
0,7,2592,68.27,24.69
0,7,2656,68.48,24.69
0,7,2720,68.69,24.69
0,7,2784,68.89,24.69
0,7,2848,69.09,24.69
0,7,2912,69.28,24.69
0,7,2976,69.47,24.68
0,7,3040,69.66,24.69
0,7,3104,69.84,24.69
0,7,3168,70.02,24.68
0,7,3232,70.19,24.69
0,7,3296,70.36,24.68
0,7,3360,70.53,24.68
0,7,3424,70.69,24.68
0,7,3488,70.85,24.68
0,7,3552,71.01,24.69
0,7,3616,71.16,24.68
0,7,3680,71.32,24.68
0,7,3744,71.47,24.68
0,7,3808,71.61,24.68
0,7,3872,71.76,24.68
0,7,3936,71.90,24.69
0,7,4000,72.04,24.68
0,7,4064,72.18,24.68
