ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,32,30.10,-8.87
0,7,96,39.65,0.76
0,7,160,44.08,5.21
0,7,224,47.00,8.09
0,7,288,49.19,10.36
0,7,352,50.93,12.15
0,7,416,52.38,13.67
0,7,480,53.62,14.95
0,7,544,54.71,16.05
0,7,608,55.68,17.09
0,7,672,56.55,18.01
0,7,736,57.34,18.82
0,7,800,58.06,19.52
0,7,864,58.73,20.14
0,7,928,59.35,20.72
0,7,992,59.93,21.26
0,7,1056,60.47,21.72
0,7,1120,60.98,22.12
0,7,1184,61.47,22.48
0,7,1248,61.92,22.79
0,7,1312,62.36,23.09
0,7,1376,62.77,23.33
0,7,1440,63.17,23.56
0,7,1504,63.54,23.76
0,7,1568,63.91,23.94
0,7,1632,64.25,24.10
0,7,1696,64.59,24.25
0,7,1760,64.91,24.39
0,7,1824,65.22,24.51
0,7,1888,65.52,24.64
0,7,1952,65.81,24.74
0,7,2016,66.09,24.85
0,7,2080,66.36,24.94
0,7,2144,66.62,25.02
0,7,2208,66.88,25.10
0,7,2272,67.13,25.17
0,7,2336,67.37,25.24
0,7,2400,67.60,25.32
0,7,2464,67.83,25.37
0,7,2528,68.06,25.43
0,7,2592,68.27,25.48
0,7,2656,68.48,25.54
0,7,2720,68.69,25.58
0,7,2784,68.89,25.62
0,7,2848,69.09,25.67
0,7,2912,69.28,25.70
0,7,2976,69.47,25.74
0,7,3040,69.66,25.77
0,7,3104,69.84,25.81
0,7,3168,70.02,25.84
0,7,3232,70.19,25.86
0,7,3296,70.36,25.89
0,7,3360,70.53,25.92
0,7,3424,70.69,25.93
0,7,3488,70.85,25.96
0,7,3552,71.01,25.98
0,7,3616,71.16,26.01
0,7,3680,71.32,26.03
0,7,3744,71.47,26.05
0,7,3808,71.61,26.06
0,7,3872,71.76,26.07
0,7,3936,71.90,26.09
0,7,4000,72.04,26.10
0,7,4064,72.18,26.12
