ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,2,-66.23,-72.75
0,7,6,-56.68,0.00
0,7,10,-52.25,0.00
0,7,14,-49.32,0.00
0,7,18,-47.14,0.00
0,7,22,-45.40,-12.69
0,7,26,-43.95,-11.50
0,7,30,-42.70,-10.17
0,7,34,-41.62,-9.10
0,7,38,-40.65,-8.19
0,7,42,-39.78,-7.42
0,7,46,-38.99,-6.65
0,7,50,-38.27,-5.87
0,7,54,-37.60,-5.33
0,7,58,-36.98,-4.65
0,7,62,-36.40,-4.24
0,7,66,-35.86,-3.54
0,7,70,-35.35,-3.20
0,7,74,-34.86,-2.61
0,7,78,-34.41,-2.24
0,7,82,-33.97,-1.74
0,7,86,-33.56,-1.39
0,7,90,-33.16,-0.99
0,7,94,-32.78,-0.63
0,7,98,-32.42,-0.28
0,7,102,-32.08,0.09
0,7,106,-31.74,0.37
0,7,110,-31.42,0.73
0,7,114,-31.11,1.04
