ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,32,30.10,-12.51
0,7,96,39.65,-3.64
0,7,160,44.08,0.61
0,7,224,47.00,3.47
0,7,288,49.19,5.64
0,7,352,50.93,7.38
0,7,416,52.38,8.81
0,7,480,53.62,10.01
0,7,544,54.71,11.08
0,7,608,55.68,12.00
0,7,672,56.55,12.82
0,7,736,57.34,13.59
0,7,800,58.06,14.31
0,7,864,58.73,14.94
0,7,928,59.35,15.56
0,7,992,59.93,16.12
0,7,1056,60.47,16.66
0,7,1120,60.98,17.14
0,7,1184,61.47,17.62
0,7,1248,61.92,18.14
0,7,1312,62.36,18.58
0,7,1376,62.77,19.01
0,7,1440,63.17,19.42
0,7,1504,63.54,19.83
0,7,1568,63.91,20.19
0,7,1632,64.25,20.52
0,7,1696,64.59,20.85
0,7,1760,64.91,21.09
0,7,1824,65.22,21.42
0,7,1888,65.52,21.74
0,7,1952,65.81,22.11
0,7,2016,66.09,22.38
0,7,2080,66.36,22.68
0,7,2144,66.62,22.96
0,7,2208,66.88,23.24
0,7,2272,67.13,23.47
0,7,2336,67.37,23.73
0,7,2400,67.60,23.97
0,7,2464,67.83,24.20
0,7,2528,68.06,24.38
0,7,2592,68.27,24.71
0,7,2656,68.48,24.83
0,7,2720,68.69,24.96
0,7,2784,68.89,25.06
0,7,2848,69.09,25.14
0,7,2912,69.28,25.19
0,7,2976,69.47,25.21
0,7,3040,69.66,25.21
0,7,3104,69.84,25.21
0,7,3168,70.02,25.21
0,7,3232,70.19,25.20
0,7,3296,70.36,25.20
0,7,3360,70.53,25.21
0,7,3424,70.69,25.21
0,7,3488,70.85,25.21
0,7,3552,71.01,25.20
0,7,3616,71.16,25.20
0,7,3680,71.32,25.20
0,7,3744,71.47,25.20
0,7,3808,71.61,25.20
0,7,3872,71.76,25.19
0,7,3936,71.90,25.19
0,7,4000,72.04,25.19
0,7,4064,72.18,25.19
