ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm,
0,7,32,30.1,-12.51,-9.78
0,7,96,39.65,-3.64,-0.15
0,7,160,44.08,0.61,4.32
0,7,224,47,3.47,7.22
0,7,288,49.19,5.64,9.39
0,7,352,50.93,7.38,11.19
0,7,416,52.38,8.81,12.75
0,7,480,53.62,10.01,13.98
0,7,544,54.71,11.08,15.04
0,7,608,55.68,12,15.99
0,7,672,56.55,12.82,16.85
0,7,736,57.34,13.59,17.55
0,7,800,58.06,14.31,18.32
0,7,864,58.73,14.94,18.98
0,7,928,59.35,15.56,19.59
0,7,992,59.93,16.12,20.06
0,7,1056,60.47,16.66,20.63
0,7,1120,60.98,17.14,21.16
0,7,1184,61.47,17.62,21.63
0,7,1248,61.92,18.14,21.99
0,7,1312,62.36,18.58,22.52
0,7,1376,62.77,19.01,23
0,7,1440,63.17,19.42,23.44
0,7,1504,63.54,19.83,23.82
0,7,1568,63.91,20.19,24.14
0,7,1632,64.25,20.52,24.56
0,7,1696,64.59,20.85,24.92
0,7,1760,64.91,21.09,25.23
0,7,1824,65.22,21.42,25.4
0,7,1888,65.52,21.74,25.76
0,7,1952,65.81,22.11,26.05
0,7,2016,66.09,22.38,26.27
0,7,2080,66.36,22.68,26.58
0,7,2144,66.62,22.96,26.63
0,7,2208,66.88,23.24,26.66
0,7,2272,67.13,23.47,26.67
0,7,2336,67.37,23.73,26.68
0,7,2400,67.6,23.97,26.69
0,7,2464,67.83,24.2,26.69
0,7,2528,68.06,24.38,26.69
0,7,2592,68.27,24.71,26.7
0,7,2656,68.48,24.83,26.69
0,7,2720,68.69,24.96,26.69
0,7,2784,68.89,25.06,26.69
0,7,2848,69.09,25.14,26.69
0,7,2912,69.28,25.19,26.68
0,7,2976,69.47,25.21,26.67
0,7,3040,69.66,25.21,26.67
0,7,3104,69.84,25.21,26.67
0,7,3168,70.02,25.21,26.68
0,7,3232,70.19,25.2,26.68
0,7,3296,70.36,25.2,26.67
0,7,3360,70.53,25.21,26.66
0,7,3424,70.69,25.21,26.66
0,7,3488,70.85,25.21,26.65
0,7,3552,71.01,25.2,26.65
0,7,3616,71.16,25.2,26.66
0,7,3680,71.32,25.2,26.66
0,7,3744,71.47,25.2,26.65
0,7,3808,71.61,25.2,26.66
0,7,3872,71.76,25.19,26.66
0,7,3936,71.9,25.19,26.67
0,7,4000,72.04,25.19,26.67
0,7,4064,72.18,25.19,26.67
