ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,106,32,-42.14,0.00
0,106,64,-36.12,-3.08
0,106,96,-32.60,0.87
0,106,128,-30.10,3.49
0,106,160,-28.16,5.53
0,106,192,-26.58,7.23
0,106,224,-25.24,8.67
0,106,256,-24.08,9.85
0,106,288,-23.06,10.92
0,106,320,-22.14,11.91
0,106,352,-21.32,12.75
0,106,384,-20.56,13.75
0,106,416,-19.87,14.44
0,106,448,-19.22,15.11
0,106,480,-18.62,15.70
0,106,512,-18.06,16.24
0,106,544,-17.54,16.76
0,106,576,-17.04,17.25
0,106,608,-16.57,17.71
0,106,640,-16.12,18.07
0,106,672,-15.70,18.48
0,106,704,-15.30,18.88
0,106,736,-14.91,19.25
0,106,768,-14.54,19.62
0,106,800,-14.19,19.97
0,106,832,-13.84,20.31
0,106,864,-13.52,20.63
0,106,896,-13.20,20.95
0,106,928,-12.90,21.25
0,106,960,-12.60,21.56
0,106,992,-12.32,21.83
0,106,1024,-12.04,22.10
0,106,1056,-11.77,22.39
0,106,1088,-11.51,22.63
0,106,1120,-11.26,22.85
0,106,1152,-11.02,23.11
0,106,1184,-10.78,23.36
0,106,1216,-10.55,23.59
0,106,1248,-10.32,23.80
0,106,1280,-10.10,24.02
0,106,1312,-9.89,24.22
0,106,1344,-9.68,24.42
0,106,1376,-9.47,24.54
0,106,1408,-9.28,24.76
0,106,1440,-9.08,24.97
0,106,1472,-8.89,25.16
0,106,1504,-8.70,25.35
0,106,1536,-8.52,25.54
0,106,1568,-8.34,25.70
0,106,1600,-8.16,25.67
0,106,1632,-7.99,25.90
0,106,1664,-7.82,26.12
0,106,1696,-7.66,26.32
0,106,1728,-7.50,26.50
0,106,1760,-7.34,26.66
0,106,1792,-7.18,26.80
0,106,1824,-7.03,26.93
0,106,1856,-6.88,27.14
0,106,1888,-6.73,27.25
0,106,1920,-6.58,27.35
0,106,1952,-6.44,27.44
0,106,1984,-6.30,27.51
0,106,2016,-6.16,27.57
0,106,2048,-6.02,27.63
0,106,2080,-5.89,27.72
0,106,2112,-5.75,27.76
0,106,2144,-5.62,27.78
0,106,2176,-5.49,27.80
0,106,2208,-5.37,27.81
0,106,2240,-5.24,27.81
0,106,2272,-5.12,27.81
0,106,2304,-5.00,27.81
0,106,2336,-4.88,27.81
0,106,2368,-4.76,27.81
0,106,2400,-4.64,27.81
0,106,2432,-4.53,27.81
0,106,2464,-4.41,27.79
0,106,2496,-4.30,27.80
0,106,2528,-4.19,27.80
0,106,2560,-4.08,27.80
0,106,2592,-3.97,27.80
0,106,2624,-3.87,27.79
0,106,2656,-3.76,27.80
0,106,2688,-3.66,27.79
0,106,2720,-3.56,27.80
0,106,2752,-3.45,27.79
0,106,2784,-3.35,27.79
0,106,2816,-3.25,27.80
0,106,2848,-3.16,27.79
0,106,2880,-3.06,27.80
0,106,2912,-2.96,27.80
0,106,2944,-2.87,27.80
0,106,2976,-2.77,27.80
0,106,3008,-2.68,27.79
0,106,3040,-2.59,27.80
0,106,3072,-2.50,27.79
0,106,3104,-2.41,27.80
0,106,3136,-2.32,27.79
0,106,3168,-2.23,27.79
0,106,3200,-2.14,27.79
0,106,3232,-2.06,27.79
0,106,3264,-1.97,27.80
0,106,3296,-1.89,27.80
0,106,3328,-1.80,27.80
0,106,3360,-1.72,27.80
0,106,3392,-1.64,27.79
0,106,3424,-1.56,27.80
0,106,3456,-1.48,27.79
0,106,3488,-1.40,27.79
0,106,3520,-1.32,27.79
0,106,3552,-1.24,27.79
0,106,3584,-1.16,27.78
0,106,3616,-1.08,27.78
0,106,3648,-1.01,27.78
0,106,3680,-0.93,27.78
0,106,3712,-0.86,27.79
0,106,3744,-0.78,27.78
0,106,3776,-0.71,27.78
0,106,3808,-0.63,27.79
0,106,3840,-0.56,27.79
0,106,3872,-0.49,27.78
0,106,3904,-0.42,27.79
0,106,3936,-0.35,27.79
0,106,3968,-0.28,27.78
0,106,4000,-0.21,27.78
0,106,4032,-0.14,27.79
0,106,4064,-0.07,27.78
