Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,test_band
lna regulator output,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b000,RX_ON,WF_LB
cascode pmos bias voltage,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b001,RX_ON,WF_LB
cascode nmos bias voltage,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b010,RX_ON,WF_LB
vcm half regularot output,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b011,RX_ON,WF_LB
lna rfop dc,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b100,RX_ON,WF_LB
Power detector op dc,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b101,RX_ON,WF_LB
lna rfon dc,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b110,RX_ON,WF_LB
Power detector on dc,WF,LNA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_lna,1'b1,,,wf_test_bit,3'b111,RX_ON,WF_LB
rmx regulator output,WF,RMX,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_rmx,1'b1,,,wf_test_bit,2'b00,RX_ON,WF_LB
rmx switch bias voltage,WF,RMX,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_rmx,1'b1,,,wf_test_bit,2'b01,RX_ON,WF_LB
ibias diode voltage,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b000,RX_ON,WF_LB
opamp vcm threshold,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b001,RX_ON,WF_LB
vcm,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b010,RX_ON,WF_LB
dc cal regulator output,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b011,RX_ON,WF_LB
Qp input dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b100,RX_ON,WF_LB
Qn input dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b101,RX_ON,WF_LB
Ip input dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b110,RX_ON,WF_LB
In input dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b01,,,wf_test_bit,3'b111,RX_ON,WF_LB
Qn output dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b10,,,wf_test_bit,3'b100,RX_ON,WF_LB
Qp output dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b10,,,wf_test_bit,3'b101,RX_ON,WF_LB
In output dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b10,,,wf_test_bit,3'b110,RX_ON,WF_LB
Ip output dc,WF,TIA,cfg_msadc_sw_mux_bits,4'b0000,wf_test_enable_tia,2'b10,,,wf_test_bit,3'b111,RX_ON,WF_LB
