Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,test_band
,,,,,,,,,,,,
vb_sense,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
vtst<3>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
vbcscd_sense,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
vtst<1>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
dvdd_reg,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF
vtst<2>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF
v1p1,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF
vtst<0>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF
vb_sense,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF
vtst<3>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF
vbcscd_sense,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF
vtst<1>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF
dvdd_reg,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF
vtst<2>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF
v1p1,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF
vtst<0>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF
