A35,13.44,13.13,12.84,12.52,12.07,11.96,11.59,11.35,11.29,10.97,10.92,10.82,10.44,10.37,10.24,10.04,10,9.92,9.77,9.74,9.81,9.72,9.92,10,9.98,10.42,10.5,-33.11,-34.92,-35.04,-34.59,-33.74,-35.6,-35.54,-35.12,-34.98,-35.31,-35.43,-35.02,-34.8,-34,-34.17,-33.98,-34.12,-34.84,-32.63,-32.04,-33.89,-34.19,-34.27,-33.14,-32.71,-31.98,-32.68
A5_1.5P,13.42,13.1,12.81,12.52,12.03,11.93,11.62,11.31,11.24,10.98,10.9,10.79,10.52,10.41,10.21,10.02,10.01,9.92,9.75,9.75,9.81,9.7,9.92,10.02,10,10.37,10.51,-33.23,-33.87,-35.42,-35.54,-35.92,-34.69,-35.13,-35.4,-35.92,-34.98,-34.07,-34.41,-34.51,-33.94,-34.79,-34.23,-35.12,-34.11,-33.15,-34.47,-33.51,-32.82,-33.97,-34.18,-32.51,-33.43,-34.14
A5_0.7P,13.06,12.9,12.57,12.27,12.03,11.92,11.54,11.43,11.32,10.97,10.95,10.75,10.45,10.36,10.11,10,9.93,9.83,9.66,9.7,9.64,9.6,9.81,9.77,9.8,10.2,10.24,-31.75,-33.2,-34.14,-33.09,-35.2,-35.8,-35.53,-35.84,-35.09,-35.09,-35.57,-34.14,-34.68,-34.14,-35,-33.39,-33.79,-33.68,-33.93,-34.02,-34.78,-33.26,-33.31,-32.74,-32.83,-32.78,-32.47
A5_1.2P,13.5,13.19,12.93,12.61,12.18,12.07,11.73,11.44,11.36,11.06,10.99,10.95,10.53,10.5,10.3,10.14,10.06,10.06,9.89,9.87,9.92,9.84,10.05,10.12,10.16,10.46,10.61,-34.41,-34.51,-35.58,-36.93,-35.87,-36.13,-35.63,-35,-35.64,-34.91,-35.41,-35.13,-34.47,-33.57,-35.33,-34.68,-34.48,-34.7,-34.34,-34.56,-34.21,-32.39,-33.79,-33.26,-33.03,-33.02,-32.58
A5_0.9P,13.44,13.18,12.88,12.56,12.22,12.13,11.74,11.58,11.48,11.16,11.12,10.93,10.64,10.52,10.37,10.22,10.22,10.07,9.94,9.92,9.94,9.9,10.05,10.13,10.19,10.57,10.6,-33.46,-34,-34.46,-34.79,-34.97,-34.87,-34.98,-34.62,-35.35,-36.55,-34.33,-35.36,-35.29,-34.59,-34.53,-33.41,-35.04,-34.24,-32.75,-33.17,-33.41,-32.36,-33.34,-34.13,-33.63,-33.89,-31.91
A5_1.2P,13.52,13.21,12.92,12.57,12.15,12.05,11.74,11.47,11.42,11.12,10.99,10.88,10.52,10.39,10.31,10.11,10.02,9.96,9.79,9.82,9.88,9.84,10.02,10.07,10.05,10.41,10.46,-34.97,-34.44,-35.42,-36.29,-35.72,-34.94,-36.7,-36.4,-35.38,-34.63,-35.36,-34.88,-34.15,-35.11,-34.51,-33.77,-33.31,-33.56,-34.58,-32.89,-34.16,-33.99,-33.1,-33.63,-33.43,-33.47,-33.03
A5_1.2P_1.3n,14.2,14.28,14.04,13.89,13.66,13.61,13.32,13.21,13.08,12.82,12.84,12.58,12.28,12.23,11.85,11.75,11.64,11.37,11.35,11.2,11.04,11.08,11.21,11.21,11.33,11.61,11.56,-33.29,-33.93,-33.99,-33.55,-33.69,-34.38,-34.62,-36.19,-35.7,-35.34,-35.6,-34.84,-35.86,-35.53,-34.83,-35.2,-33.96,-33.62,-33.66,-35.12,-34.27,-33.04,-33.01,-33.41,-33.39,-33.58,-31.61
A5_1.2P_1.0n,10.75,10.93,11.21,11.38,11.28,11.8,11.77,11.91,12.36,12.33,12.67,12.81,12.64,12.8,12.7,12.54,12.53,12.43,12.14,12.2,12.06,11.93,12.11,12.07,12.11,12.37,12.29,-35.59,-35.5,-35.83,-34.98,-35.33,-35.98,-34.74,-34.42,-35.29,-35,-34.3,-33.7,-34.93,-34.87,-35.21,-34.8,-34.22,-34.88,-34,-33.67,-34.37,-34.42,-34.42,-33.9,-34.32,-34.24,-32.26
A5_1.2P_1.2n,13.54,13.5,13.47,13.19,12.87,12.84,12.49,12.32,12.22,11.97,11.93,11.71,11.38,11.14,10.91,10.58,10.39,10.17,9.85,9.71,9.5,9.31,9.77,9.7,9.63,9.76,9.64,-33.18,-34.13,-34.79,-33.77,-35.38,-35.76,-35.72,-35.18,-34.52,-35.68,-35.34,-35.39,-35.76,-35.02,-35.69,-35.02,-34.26,-34.77,-33.53,-35.15,-33.48,-32.49,-32.9,-32.72,-34.15,-32.45,-33.15
A5_1.2P_1.4n,13.92,13.7,13.57,13.25,12.85,12.95,12.57,12.34,12.37,12,11.89,11.78,11.34,11.17,11.01,10.67,10.52,10.54,10.12,10.09,10.14,9.92,10.13,10.23,10.14,10.57,10.6,-33.6,-33.2,-35.81,-34.97,-35.19,-36.62,-35.57,-36.61,-36.21,-35.79,-34.83,-35.25,-34.7,-34.94,-35.41,-35.34,-33.87,-35.07,-34.97,-35.27,-33.18,-33,-32.41,-33.69,-34.2,-33.24,-33.28
A5_1.2P_1.3n_1.2p,13.17,12.92,12.81,12.46,12.04,12.09,11.67,11.48,11.5,11.14,11.07,11.01,10.58,10.47,10.34,10.05,9.99,9.96,9.62,9.66,9.73,9.42,9.71,9.78,9.65,10.11,10.05,-34.08,-34.09,-35.46,-33.88,-35.3,-34.94,-34.74,-35.2,-35.42,-34.87,-35.97,-34.8,-33.82,-35.35,-34.47,-34.61,-33.73,-33.69,-34.69,-34.35,-34.81,-34.53,-33.52,-33.87,-33.39,-33.52,-32.58
A5_1.2P_1.3n_0.9p,14.25,14.06,14.02,13.73,13.33,13.36,13.01,12.8,12.81,12.45,12.4,12.3,11.83,11.74,11.48,11.17,11.05,11.01,10.62,10.57,10.57,10.35,10.54,10.6,10.4,10.85,10.83,-32.08,-32.34,-33.65,-33.23,-34.72,-34.24,-33.98,-35.33,-35.73,-35.4,-35.08,-35.77,-33.8,-35.29,-34.49,-33.42,-34.17,-33.95,-33.74,-35.11,-33.18,-34,-33.61,-33.5,-33.79,-31.75,-33.34
A5_1.2P_1.3n_1.0p,13.9,13.79,13.61,13.32,13.0,12.95,12.56,12.47,12.36,12.07,12.09,11.8,11.48,11.35,11.09,10.93,10.83,10.69,10.56,10.48,10.35,10.34,10.47,10.43,10.51,10.83,10.87,-33.36,-34.77,-34.3,-34.86,-35.22,-35.22,-36.05,-35.32,-36.02,-34.87,-34.17,-35.24,-34.77,-35.02,-34.72,-35.88,-34.14,-32.87,-34.37,-33.59,-33.41,-34.26,-31.53,-33.77,-32.88,-33.29,-33.25
A5_1.2P_1.3n_1.0p,13.92,13.82,13.62,13.34,13.09,12.98,12.61,12.49,12.36,12.07,12.07,11.87,11.53,11.38,11.11,10.97,10.88,10.68,10.55,10.54,10.47,10.38,10.53,10.49,10.6,10.85,10.85,-31.55,-33.97,-33.34,-34.96,-34.35,-35.16,-34.47,-35.94,-34.38,-34.83,-34.09,-35.52,-35.57,-34.98,-33.33,-33.54,-33.36,-34.15,-33.67,-35.05,-33.84,-34.06,-34.56,-32.91,-33.72,-33.97,-32.92
